file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,165,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,38
style.css,166,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,84
style.css,167,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,47
style.css,168,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,56
style.css,169,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,170,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,171,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,27
style.css,172,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,14
style.css,173,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,63
style.css,174,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,40
style.css,175,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,50
style.css,176,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,52
style.css,177,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,76
style.css,178,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,179,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,180,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,36
style.css,181,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,18
style.css,182,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,44
style.css,183,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,62
style.css,184,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,49
style.css,185,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,50
style.css,186,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
